Sunday, 21-07-18 22:14:09, 75.332, 75.332, 75.331, 45.450, 974.6038954194736, off, 0
Sunday, 21-07-18 22:14:24, 75.323, 75.323, 75.322, 45.428, 974.5684599521379, off, 0
Sunday, 21-07-18 22:14:37, 75.258, 75.258, 75.251, 45.301, 974.5348839340585, off, 0
Sunday, 21-07-18 22:14:55, 75.194, 75.194, 75.188, 45.220, 974.5645018848478, off, 0
Sunday, 21-07-18 22:15:04, 75.237, 75.237, 75.242, 45.601, 974.5827469310798, off, 0
Sunday, 21-07-18 22:15:23, 75.225, 75.225, 75.224, 45.250, 974.5674104588325, off, 0
Sunday, 21-07-18 22:15:32, 75.199, 75.199, 75.197, 45.104, 974.5999345553917, off, 0
Sunday, 21-07-18 22:15:39, 75.140, 75.140, 75.134, 45.133, 974.5462550241018, off, 0
Sunday, 21-07-18 22:15:46, 75.110, 75.110, 75.107, 45.009, 974.5787740319113, off, 0
Sunday, 21-07-18 22:15:56, 75.075, 75.075, 75.071, 45.141, 974.5758602341053, off, 0
Sunday, 21-07-18 22:16:05, 75.063, 75.063, 75.062, 45.146, 974.5959523063694, off, 0
Sunday, 21-07-18 22:16:13, 75.079, 75.079, 75.080, 45.103, 974.5835291719528, off, 0
Sunday, 21-07-18 22:16:24, 75.031, 75.031, 75.026, 45.022, 974.5652759939412, off, 0
Sunday, 21-07-18 22:16:33, 74.978, 74.978, 74.972, 45.085, 974.574779753101, off, 0
Sunday, 21-07-18 22:16:42, 74.940, 74.940, 74.937, 45.100, 974.5441026176487, off, 0
Sunday, 21-07-18 22:16:47, 74.937, 74.937, 74.937, 45.200, 974.571860477652, off, 0
Sunday, 21-07-18 22:17:00, 74.920, 74.920, 74.919, 45.194, 974.5565216047104, off, 0
Sunday, 21-07-18 22:17:09, 74.919, 74.919, 74.919, 45.166, 974.528764199319, off, 0
Sunday, 21-07-18 22:17:22, 74.853, 74.853, 74.847, 45.067, 974.5784339844054, off, 0
Sunday, 21-07-18 22:17:31, 74.798, 74.798, 74.793, 45.003, 974.5879236857172, off, 0
Sunday, 21-07-18 22:17:39, 74.793, 74.793, 74.793, 45.125, 974.6156780230717, off, 0
Sunday, 21-07-18 22:17:47, 74.768, 74.768, 74.766, 45.091, 974.5649132003688, off, 0
Sunday, 21-07-18 22:18:01, 74.750, 74.750, 74.748, 45.056, 974.6050794222782, off, 0
Sunday, 21-07-18 22:18:11, 74.707, 74.707, 74.703, 44.976, 974.5667270887666, off, 0
Sunday, 21-07-18 22:18:20, 74.654, 74.654, 74.649, 44.978, 974.548455850846, off, 0
Sunday, 21-07-18 22:18:23, 74.609, 74.609, 74.604, 45.059, 974.5656030154419, off, 0
Sunday, 21-07-18 22:18:32, 74.613, 74.613, 74.613, 45.182, 974.6287736317589, off, 0
Sunday, 21-07-18 22:18:40, 74.589, 74.589, 74.586, 45.075, 974.5502614423241, off, 0
Sunday, 21-07-18 22:18:47, 74.537, 74.537, 74.533, 45.055, 974.4764895005814, off, 0
Sunday, 21-07-18 22:18:57, 74.508, 74.508, 74.506, 45.026, 974.5922143512539, off, 0
Sunday, 21-07-18 22:19:07, 74.506, 74.506, 74.506, 45.132, 974.5922143512539, off, 0
Sunday, 21-07-18 22:19:16, 74.456, 74.456, 74.452, 45.279, 974.5184402741685, off, 0
Sunday, 21-07-18 22:19:30, 74.403, 74.403, 74.398, 45.331, 974.5833923838904, off, 0
Sunday, 21-07-18 22:19:37, 74.365, 74.365, 74.362, 45.268, 974.5804489304714, off, 0
Sunday, 21-07-18 22:19:47, 74.387, 74.387, 74.389, 45.225, 974.575720569001, off, 0
Sunday, 21-07-18 22:19:57, 74.405, 74.405, 74.407, 45.404, 974.5910642238085, off, 0
Sunday, 21-07-18 22:20:06, 74.374, 74.374, 74.371, 45.119, 974.5603770143164, off, 0
Sunday, 21-07-18 22:20:18, 74.346, 74.346, 74.344, 45.023, 974.6483347897577, off, 0
Sunday, 21-07-18 22:20:26, 74.320, 74.320, 74.317, 45.027, 974.5975745669856, off, 0
Sunday, 21-07-18 22:20:39, 74.260, 74.260, 74.254, 45.006, 974.5161282269072, off, 0
Sunday, 21-07-18 22:20:48, 74.230, 74.230, 74.227, 44.988, 974.5763336079539, off, 0
Sunday, 21-07-18 22:20:57, 74.178, 74.178, 74.174, 45.002, 974.6135161246531, off, 0
Sunday, 21-07-18 22:21:07, 74.852, 74.852, 74.910, 66.960, 974.604366618869, off, 0
Sunday, 21-07-18 22:21:20, 75.410, 75.410, 75.457, 65.705, 974.6557089612024, off, 0
Sunday, 21-07-18 22:21:30, 75.304, 75.304, 75.296, 58.760, 974.6565237440694, off, 0
Sunday, 21-07-18 22:21:36, 75.602, 75.602, 75.628, 68.684, 974.6069790068196, off, 0
Sunday, 21-07-18 22:21:45, 75.584, 75.584, 75.583, 64.642, 974.6519668403834, off, 0
Sunday, 21-07-18 22:21:57, 75.931, 75.931, 75.960, 62.706, 974.6128353861859, off, 0
Sunday, 21-07-18 22:22:05, 75.659, 75.659, 75.637, 48.634, 974.5868706344743, off, 0
Sunday, 21-07-18 22:22:10, 75.440, 75.440, 75.421, 46.257, 974.6250373716932, off, 0
Sunday, 21-07-18 22:22:16, 75.257, 75.257, 75.242, 45.440, 974.6105123675158, off, 0
Sunday, 21-07-18 22:22:25, 75.094, 75.094, 75.080, 45.025, 974.5557677511197, off, 0
Sunday, 21-07-18 22:22:42, 74.783, 74.783, 74.757, 44.812, 974.5849965166335, off, 0
Sunday, 21-07-18 22:22:50, 74.659, 74.659, 74.649, 44.700, 974.5762066085834, off, 0
Sunday, 21-07-18 22:23:02, 74.501, 74.501, 74.488, 44.908, 974.5491247479989, off, 0
Sunday, 21-07-18 22:23:13, 74.364, 74.364, 74.353, 45.034, 974.6560073885573, off, 0
Sunday, 21-07-18 22:23:24, 74.263, 74.263, 74.254, 44.962, 974.599351184216, off, 0
Sunday, 21-07-18 22:23:35, 74.122, 74.122, 74.111, 45.098, 974.5875430498611, off, 0
Sunday, 21-07-18 22:23:46, 73.995, 73.995, 73.985, 45.219, 974.6187941198834, off, 0
